K,D,alpha,gamma,pwm
9.7483,0.086966,0.025888,0.093062,40
9.6102,0.04116,0.075133,0.25357,80
8.847,0.013476,0.098146,0.53637,180
8.8487,0.014824,0.097663,0.44373,140
8.4093,0.0018208,0.093104,0.48894,160
8.4128,0.01345,0.087211,0.3644,120
8.8422,0.00011065,0.068608,0.32081,80
8.7143,0.037766,0.067975,0.25182,80
5.674,0.07827,-0.0095165,0.0072668,20
5.674,0.07827,-0.0095165,0.0072668,20
5.6732,0.072202,-0.0094908,0.0014487,20
5.6761,0.067201,-0.0092409,0.0026097,20
5.6713,0.064376,-0.0093467,0.0016711,20
5.6712,0.062045,-0.0094138,0.0018105,20
5.6732,0.18428,-0.0093416,0.049608,20
5.6714,0.13721,-0.0093539,0.050866,20
5.6719,0.1284,-0.0094219,0.0015696,20
5.6719,0.12565,-0.0094211,0.0018629,20
5.6719,0.12581,-0.0093221,0.0012788,20
5.6719,0.12607,-0.0093217,0.0011077,20
5.6719,0.12797,-0.0097088,0.00066195,20
9.9786,0.0084,-0.0094,0.0016,0
16.195,3.8885,-0.0094,0.0016,0
18.539,13.61,-0.0094,0.0016,0
18.539,13.61,-0.0094,0.0016,0
18.539,13.61,-0.0094,0.0016,0
18.539,13.61,-0.0094,0.0016,0
18.539,13.61,-0.0094,0.0016,0
10.567,0.03923,-0.018485,0.099043,20
5.8859,0.17751,-0.010308,0.1497,20
5.8859,0.1,-0.010299,0.14969,20
5.8859,0.1,-0.010299,0.14969,20
5.8859,0.1,-0.010299,0.14969,20
5.8859,0.1,-0.010299,0.14969,20
5.8859,0.1,-0.010299,0.14969,20
0.60555,0.00031499,0.0065211,0.4381
0.61931,0.00030625,0.0065613,0.43636
5.126,0.00037858,0.054863,0.43517
2.7348,3.1673e-05,0.029292,0.39211
